threshold,miss_rate,fpr
0.000,0.000000,1.000000
0.001,0.000000,1.000000
0.002,0.000000,1.000000
0.003,0.000000,1.000000
0.004,0.000000,1.000000
0.005,0.000000,1.000000
0.006,0.000000,1.000000
0.007,0.000000,1.000000
0.008,0.000000,1.000000
0.009,0.000000,1.000000
0.010,0.000000,1.000000
0.011,0.000000,1.000000
0.012,0.000000,1.000000
0.013,0.000000,1.000000
0.014,0.000000,1.000000
0.015,0.000000,1.000000
0.016,0.000000,1.000000
0.017,0.000000,1.000000
0.018,0.000000,1.000000
0.019,0.000000,1.000000
0.020,0.000000,1.000000
0.021,0.000000,1.000000
0.022,0.000000,1.000000
0.023,0.000000,1.000000
0.024,0.000000,1.000000
0.025,0.000000,1.000000
0.026,0.000000,1.000000
0.027,0.000000,1.000000
0.028,0.000000,1.000000
0.029,0.000000,1.000000
0.030,0.000000,1.000000
0.031,0.000000,1.000000
0.032,0.000000,1.000000
0.033,0.000000,1.000000
0.034,0.000000,1.000000
0.035,0.000000,1.000000
0.036,0.000000,1.000000
0.037,0.000000,1.000000
0.038,0.000000,1.000000
0.039,0.000000,1.000000
0.040,0.000000,1.000000
0.041,0.000000,1.000000
0.042,0.000000,1.000000
0.043,0.000000,1.000000
0.044,0.000000,1.000000
0.045,0.000000,1.000000
0.046,0.000000,1.000000
0.047,0.000000,1.000000
0.048,0.000000,1.000000
0.049,0.000000,1.000000
0.050,0.000000,1.000000
0.051,0.000000,1.000000
0.052,0.000000,1.000000
0.053,0.000000,1.000000
0.054,0.000000,1.000000
0.055,0.000000,1.000000
0.056,0.000000,1.000000
0.057,0.000000,1.000000
0.058,0.000000,1.000000
0.059,0.000000,1.000000
0.060,0.000000,1.000000
0.061,0.000000,1.000000
0.062,0.000000,1.000000
0.063,0.000000,1.000000
0.064,0.000000,1.000000
0.065,0.000000,1.000000
0.066,0.000000,1.000000
0.067,0.000000,1.000000
0.068,0.000000,1.000000
0.069,0.000000,1.000000
0.070,0.000000,1.000000
0.071,0.000000,1.000000
0.072,0.000000,1.000000
0.073,0.000000,1.000000
0.074,0.000000,1.000000
0.075,0.000000,1.000000
0.076,0.000000,1.000000
0.077,0.000000,1.000000
0.078,0.000000,0.999920
0.079,0.000000,0.999920
0.080,0.000000,0.999801
0.081,0.000000,0.999443
0.082,0.000000,0.999084
0.083,0.000000,0.998686
0.084,0.000000,0.997492
0.085,0.000000,0.996457
0.086,0.000214,0.995461
0.087,0.000429,0.994147
0.088,0.000429,0.992316
0.089,0.000643,0.990564
0.090,0.001072,0.988534
0.091,0.001072,0.985747
0.092,0.001072,0.982880
0.093,0.001072,0.978222
0.094,0.001072,0.974679
0.095,0.001072,0.970219
0.096,0.001286,0.965044
0.097,0.001501,0.958793
0.098,0.001715,0.952343
0.099,0.001715,0.944938
0.100,0.001930,0.936577
0.101,0.002144,0.927937
0.102,0.002144,0.919497
0.103,0.002144,0.909384
0.104,0.002144,0.900147
0.105,0.002144,0.890791
0.106,0.002144,0.880041
0.107,0.002358,0.869252
0.108,0.002787,0.858940
0.109,0.003002,0.846757
0.110,0.003216,0.836366
0.111,0.003431,0.824581
0.112,0.003859,0.813433
0.113,0.003859,0.800812
0.114,0.003859,0.788351
0.115,0.004074,0.776207
0.116,0.004074,0.763586
0.117,0.004074,0.749492
0.118,0.004288,0.736871
0.119,0.004503,0.724290
0.120,0.004503,0.711868
0.121,0.004503,0.700482
0.122,0.004503,0.690090
0.123,0.004503,0.679978
0.124,0.004503,0.668432
0.125,0.004931,0.658797
0.126,0.004931,0.648525
0.127,0.004931,0.639328
0.128,0.004931,0.629852
0.129,0.005575,0.618545
0.130,0.005789,0.609030
0.131,0.006003,0.597643
0.132,0.006003,0.587451
0.133,0.006003,0.577657
0.134,0.006218,0.568141
0.135,0.006218,0.558626
0.136,0.006432,0.549668
0.137,0.006432,0.540510
0.138,0.006432,0.531751
0.139,0.006432,0.522714
0.140,0.006647,0.515069
0.141,0.006861,0.507266
0.142,0.006861,0.500896
0.143,0.006861,0.495123
0.144,0.006861,0.490226
0.145,0.007075,0.484771
0.146,0.007075,0.479834
0.147,0.007504,0.475415
0.148,0.007719,0.471553
0.149,0.008148,0.467890
0.150,0.008362,0.463471
0.151,0.008362,0.459529
0.152,0.008362,0.455667
0.153,0.008362,0.451766
0.154,0.008362,0.447944
0.155,0.008362,0.444161
0.156,0.008362,0.440658
0.157,0.008362,0.436238
0.158,0.008576,0.432695
0.159,0.008576,0.429470
0.160,0.008576,0.425449
0.161,0.008576,0.421866
0.162,0.008576,0.417805
0.163,0.008791,0.414421
0.164,0.008791,0.410399
0.165,0.009005,0.406577
0.166,0.009005,0.403392
0.167,0.009434,0.400048
0.168,0.009434,0.396982
0.169,0.009863,0.393638
0.170,0.009863,0.390134
0.171,0.010077,0.387188
0.172,0.010077,0.384282
0.173,0.010292,0.380858
0.174,0.010506,0.378190
0.175,0.010720,0.376000
0.176,0.010720,0.373174
0.177,0.010720,0.370307
0.178,0.010720,0.366843
0.179,0.011149,0.363419
0.180,0.011149,0.361269
0.181,0.011578,0.358084
0.182,0.011792,0.355576
0.183,0.012007,0.353227
0.184,0.012436,0.350758
0.185,0.012436,0.348808
0.186,0.012436,0.346180
0.187,0.012436,0.343950
0.188,0.012436,0.341601
0.189,0.012864,0.339412
0.190,0.012864,0.337182
0.191,0.012864,0.334315
0.192,0.012864,0.331807
0.193,0.013293,0.329060
0.194,0.013508,0.326472
0.195,0.013508,0.324083
0.196,0.013508,0.321615
0.197,0.013508,0.318908
0.198,0.013722,0.316479
0.199,0.013722,0.314170
0.200,0.013937,0.311303
0.201,0.013937,0.308795
0.202,0.013937,0.305928
0.203,0.013937,0.303022
0.204,0.013937,0.299717
0.205,0.014580,0.296612
0.206,0.015009,0.293268
0.207,0.015652,0.290122
0.208,0.016081,0.286539
0.209,0.016295,0.283314
0.210,0.016509,0.279333
0.211,0.016509,0.275511
0.212,0.016509,0.271967
