param_name,kernel_index,flat_index,value
conv_p.weight,0,0,0.2933477461338043
conv_p.weight,0,1,0.33001622557640076
conv_p.weight,0,2,-0.2566792666912079
conv_p.weight,0,3,0.2933477461338043
conv_p.weight,1,0,-0.03666846826672554
conv_p.weight,1,1,0.11000540852546692
conv_p.weight,1,2,-0.1833423376083374
conv_p.weight,1,3,0.2566792666912079
conv_p.weight,2,0,0.22001081705093384
conv_p.weight,2,1,-0.5500270128250122
conv_p.weight,2,2,0.2566792666912079
conv_p.weight,2,3,-0.11000540852546692
conv_p.weight,3,0,0.22001081705093384
conv_p.weight,3,1,0.11000540852546692
conv_p.weight,3,2,0.2566792666912079
conv_p.weight,3,3,0.07333693653345108
conv_qrs.weight,0,0,0.2575296461582184
conv_qrs.weight,0,1,0.11036984622478485
conv_qrs.weight,0,2,-0.2575296461582184
conv_qrs.weight,0,3,0.4046894609928131
conv_qrs.weight,1,0,-0.4046894609928131
conv_qrs.weight,1,1,-0.11036984622478485
conv_qrs.weight,1,2,-0.03678994998335838
conv_qrs.weight,1,3,0.5518492460250854
conv_qrs.weight,2,0,-0.29431959986686707
conv_qrs.weight,2,1,-0.07357989996671677
conv_qrs.weight,2,2,0.14715979993343353
conv_qrs.weight,2,3,0.14715979993343353
conv_qrs.weight,3,0,0.14715979993343353
conv_qrs.weight,3,1,-0.33110955357551575
conv_qrs.weight,3,2,0.5150592923164368
conv_qrs.weight,3,3,-0.2575296461582184
conv_t.weight,0,0,0.4620131850242615
conv_t.weight,0,1,0.12320351600646973
conv_t.weight,0,2,-0.2772079110145569
conv_t.weight,0,3,0.03080087900161743
conv_t.weight,1,0,0.03080087900161743
conv_t.weight,1,1,0.3080087900161743
conv_t.weight,1,2,0.03080087900161743
conv_t.weight,1,3,-0.1848052740097046
conv_t.weight,2,0,0.15400439500808716
conv_t.weight,2,1,-0.24640703201293945
conv_t.weight,2,2,0.06160175800323486
conv_t.weight,2,3,0.1848052740097046
conv_t.weight,3,0,0.0924026370048523
conv_t.weight,3,1,-0.1848052740097046
conv_t.weight,3,2,0.2772079110145569
conv_t.weight,3,3,0.24640703201293945
conv_global.weight,0,0,0.10554907470941544
conv_global.weight,0,1,-0.23748542368412018
conv_global.weight,0,2,-0.3430345058441162
conv_global.weight,0,3,-0.13193634152412415
conv_global.weight,1,0,-0.10554907470941544
conv_global.weight,1,1,0.2638726830482483
conv_global.weight,1,2,0.05277453735470772
conv_global.weight,1,3,0.05277453735470772
conv_global.weight,2,0,0.15832361578941345
conv_global.weight,2,1,0.05277453735470772
conv_global.weight,2,2,0.3166472315788269
conv_global.weight,2,3,-0.21109814941883087
conv_global.weight,3,0,0.05277453735470772
conv_global.weight,3,1,-0.39580902457237244
conv_global.weight,3,2,-0.02638726867735386
conv_global.weight,3,3,-0.23748542368412018
mlp_layers.0.weight,0,0,0.3660008907318115
mlp_layers.0.weight,0,1,0.5490013360977173
mlp_layers.0.weight,0,2,0.6100015044212341
mlp_layers.0.weight,0,3,-0.3660008907318115
mlp_layers.0.weight,1,0,-0.30500075221061707
mlp_layers.0.weight,1,1,-0.42700105905532837
mlp_layers.0.weight,1,2,0.42700105905532837
mlp_layers.0.weight,1,3,0.18300044536590576
mlp_layers.0.weight,2,0,0.5490013360977173
mlp_layers.0.weight,2,1,-0.9150022268295288
mlp_layers.0.weight,2,2,-0.06100014969706535
mlp_layers.0.weight,2,3,-0.42700105905532837
mlp_layers.0.weight,3,0,-0.671001672744751
mlp_layers.0.weight,3,1,0.2440005987882614
mlp_layers.0.weight,3,2,0.3660008907318115
mlp_layers.0.weight,3,3,0.4880011975765228
mlp_layers.1.weight,0,0,-0.15486706793308258
mlp_layers.1.weight,0,1,-0.19358383119106293
mlp_layers.1.weight,0,2,0.15486706793308258
mlp_layers.1.weight,0,3,-0.19358383119106293
mlp_layers.1.weight,1,0,0.5807514786720276
mlp_layers.1.weight,1,1,0.19358383119106293
mlp_layers.1.weight,1,2,-0.4258844256401062
mlp_layers.1.weight,1,3,-0.4258844256401062
mlp_layers.1.weight,2,0,-0.15486706793308258
mlp_layers.1.weight,2,1,0.19358383119106293
mlp_layers.1.weight,2,2,0.15486706793308258
mlp_layers.1.weight,2,3,-0.19358383119106293
mlp_layers.1.weight,3,0,0.5807514786720276
mlp_layers.1.weight,3,1,0.30973413586616516
mlp_layers.1.weight,3,2,-0.46460121870040894
mlp_layers.1.weight,3,3,-0.46460121870040894
mlp_layers.2.weight,0,0,0.19368240237236023
mlp_layers.2.weight,0,1,-0.19368240237236023
mlp_layers.2.weight,0,2,-0.19368240237236023
mlp_layers.2.weight,0,3,-0.19368240237236023
mlp_layers.2.weight,1,0,-0.19368240237236023
mlp_layers.2.weight,1,1,0.9684120416641235
mlp_layers.2.weight,1,2,-0.19368240237236023
mlp_layers.2.weight,1,3,0.9684120416641235
mlp_layers.2.weight,2,0,-0.0
mlp_layers.2.weight,2,1,-0.19368240237236023
mlp_layers.2.weight,2,2,-0.19368240237236023
mlp_layers.2.weight,2,3,-0.19368240237236023
mlp_layers.2.weight,3,0,-0.19368240237236023
mlp_layers.2.weight,3,1,0.19368240237236023
mlp_layers.2.weight,3,2,0.19368240237236023
mlp_layers.2.weight,3,3,0.38736480474472046
classifier.weight,0,0,-0.0
classifier.weight,0,1,-0.9876888394355774
classifier.weight,0,2,-0.263383686542511
classifier.weight,0,3,-0.5926132798194885
classifier.weight,1,0,0.0
classifier.weight,1,1,0.9218429327011108
classifier.weight,1,2,0.0
classifier.weight,1,3,0.06584592163562775
