param_name,kernel_index,flat_index,value
conv_p.weight,0,0,0.26036304235458374
conv_p.weight,0,1,0.22316832840442657
conv_p.weight,0,2,-0.2975577712059021
conv_p.weight,0,3,0.11158416420221329
conv_p.weight,1,0,-0.07438944280147552
conv_p.weight,1,1,0.26036304235458374
conv_p.weight,1,2,-0.44633665680885315
conv_p.weight,1,3,0.2975577712059021
conv_p.weight,2,0,0.26036304235458374
conv_p.weight,2,1,-0.5579208135604858
conv_p.weight,2,2,0.26036304235458374
conv_p.weight,2,3,-0.07438944280147552
conv_p.weight,3,0,0.22316832840442657
conv_p.weight,3,1,-0.11158416420221329
conv_p.weight,3,2,0.26036304235458374
conv_p.weight,3,3,-0.14877888560295105
conv_qrs.weight,0,0,0.5567496418952942
conv_qrs.weight,0,1,-0.0
conv_qrs.weight,0,2,-0.6424034237861633
conv_qrs.weight,0,3,0.08565378934144974
conv_qrs.weight,1,0,-0.34261515736579895
conv_qrs.weight,1,1,-0.1284806877374649
conv_qrs.weight,1,2,-0.17130757868289948
conv_qrs.weight,1,3,0.5567496418952942
conv_qrs.weight,2,0,-0.34261515736579895
conv_qrs.weight,2,1,-0.04282689467072487
conv_qrs.weight,2,2,0.17130757868289948
conv_qrs.weight,2,3,0.17130757868289948
conv_qrs.weight,3,0,0.0
conv_qrs.weight,3,1,-0.4282689392566681
conv_qrs.weight,3,2,0.3854420483112335
conv_qrs.weight,3,3,-0.34261515736579895
conv_t.weight,0,0,0.40058469772338867
conv_t.weight,0,1,0.06676411628723145
conv_t.weight,0,2,-0.5007308721542358
conv_t.weight,0,3,0.1335282325744629
conv_t.weight,1,0,-0.0
conv_t.weight,1,1,0.4339667558670044
conv_t.weight,1,2,-0.06676411628723145
conv_t.weight,1,3,-0.4673488140106201
conv_t.weight,2,0,0.1669102907180786
conv_t.weight,2,1,-0.3338205814361572
conv_t.weight,2,2,0.1335282325744629
conv_t.weight,2,3,0.3338205814361572
conv_t.weight,3,0,0.20029234886169434
conv_t.weight,3,1,-0.20029234886169434
conv_t.weight,3,2,0.2670564651489258
conv_t.weight,3,3,0.23367440700531006
conv_global.weight,0,0,0.4040580987930298
conv_global.weight,0,1,-0.24865113198757172
conv_global.weight,0,2,-0.31081390380859375
conv_global.weight,0,3,-0.09324417263269424
conv_global.weight,1,0,-0.466220885515213
conv_global.weight,1,1,0.34189531207084656
conv_global.weight,1,2,0.12432556599378586
conv_global.weight,1,3,0.12432556599378586
conv_global.weight,2,0,0.31081390380859375
conv_global.weight,2,1,0.06216278299689293
conv_global.weight,2,2,0.4040580987930298
conv_global.weight,2,3,-0.4351394772529602
conv_global.weight,3,0,-0.06216278299689293
conv_global.weight,3,1,-0.466220885515213
conv_global.weight,3,2,0.031081391498446465
conv_global.weight,3,3,-0.372976690530777
mlp_layers.0.weight,0,0,0.5004864931106567
mlp_layers.0.weight,0,1,0.7507297396659851
mlp_layers.0.weight,0,2,0.6005837917327881
mlp_layers.0.weight,0,3,-0.25024324655532837
mlp_layers.0.weight,1,0,-0.3503405451774597
mlp_layers.0.weight,1,1,0.15014594793319702
mlp_layers.0.weight,1,2,0.45043784379959106
mlp_layers.0.weight,1,3,0.15014594793319702
mlp_layers.0.weight,2,0,0.6506324410438538
mlp_layers.0.weight,2,1,-0.7507297396659851
mlp_layers.0.weight,2,2,0.3503405451774597
mlp_layers.0.weight,2,3,-0.30029189586639404
mlp_layers.0.weight,3,0,-0.5004864931106567
mlp_layers.0.weight,3,1,0.3503405451774597
mlp_layers.0.weight,3,2,0.2001945972442627
mlp_layers.0.weight,3,3,0.5004864931106567
mlp_layers.1.weight,0,0,-0.40868300199508667
mlp_layers.1.weight,0,1,-0.40868300199508667
mlp_layers.1.weight,0,2,0.3065122365951538
mlp_layers.1.weight,0,3,-0.40868300199508667
mlp_layers.1.weight,1,0,0.7662806510925293
mlp_layers.1.weight,1,1,-0.0
mlp_layers.1.weight,1,2,-0.35759761929512024
mlp_layers.1.weight,1,3,-0.20434150099754333
mlp_layers.1.weight,2,0,-0.40868300199508667
mlp_layers.1.weight,2,1,0.40868300199508667
mlp_layers.1.weight,2,2,0.3065122365951538
mlp_layers.1.weight,2,3,-0.40868300199508667
mlp_layers.1.weight,3,0,-0.35759761929512024
mlp_layers.1.weight,3,1,0.40868300199508667
mlp_layers.1.weight,3,2,-0.40868300199508667
mlp_layers.1.weight,3,3,-0.40868300199508667
mlp_layers.2.weight,0,0,0.3982064127922058
mlp_layers.2.weight,0,1,-0.3982064127922058
mlp_layers.2.weight,0,2,-0.3982064127922058
mlp_layers.2.weight,0,3,-0.3982064127922058
mlp_layers.2.weight,1,0,-0.3982064127922058
mlp_layers.2.weight,1,1,0.9955160617828369
mlp_layers.2.weight,1,2,-0.3982064127922058
mlp_layers.2.weight,1,3,-0.3982064127922058
mlp_layers.2.weight,2,0,-0.0
mlp_layers.2.weight,2,1,-0.3982064127922058
mlp_layers.2.weight,2,2,-0.3982064127922058
mlp_layers.2.weight,2,3,-0.3982064127922058
mlp_layers.2.weight,3,0,-0.3982064127922058
mlp_layers.2.weight,3,1,-0.3982064127922058
mlp_layers.2.weight,3,2,0.3982064127922058
mlp_layers.2.weight,3,3,0.3982064127922058
classifier.weight,0,0,0.46503621339797974
classifier.weight,0,1,-0.9965061545372009
classifier.weight,0,2,-0.46503621339797974
classifier.weight,0,3,-0.46503621339797974
classifier.weight,1,0,0.46503621339797974
classifier.weight,1,1,0.9965061545372009
classifier.weight,1,2,-0.46503621339797974
classifier.weight,1,3,-0.46503621339797974
